sample	population
PITAITA0000_LS87	italian_mainland
PITAITA0000_LS91	italian_mainland
PDOM2012GBR0001F_LUNDY-F-02	european_house
PDOM2012GBR0002F_LUNDY-F-07	european_house
PDOM2012GBR0003F_LUNDY-F-21_mos_std	european_house
PDOM2012GBR0004F_LUNDY-F-27	european_house
PDOM2012GBR0005F_LUNDY-F-87	european_house
PDOM2012GBR0006M_LUNDY-M-05	european_house
PDOM2012GBR0007M_LUNDY-M-09	european_house
PDOM2012GBR0008M_LUNDY-M-14	european_house
PDOM2012GBR0009M_LUNDY-M-17	european_house
PDOM2012GBR0010M_LUNDY-M-89	european_house
PHIS2008ITA0001M_Lesina_280	spanish
PHIS2008ITA0002M_Lesina_281	spanish
PHIS2008ITA0003M_Lesina_282	spanish
PHIS2008ITA0004M_Lesina_285	spanish
PHIS2008ITA0005M_Lesina_286	spanish
PHIS2008ITA0006M_Lesina_287	spanish
PHIS2008ITA0007M_Lesina_288	spanish
PHIS2008ITA0008M_Lesina_289	spanish
PHIS2008ITA0009M_Lesina_292	spanish
PHIS2008ITA0010M_Lesina_295	spanish
PITA2014MLT0001M_M010	italian_island
PITA2014MLT0002M_M012	italian_island
PITA2014MLT0003M_M019	italian_island
PITA2014MLT0004M_M022	italian_island
PITA2014MLT0005M_M028	italian_island
PITA2014MLT0006M_M030	italian_island
PITA2014MLT0007M_M031	italian_island
PITA2014MLT0008M_M033	italian_island
PITA2014MLT0009M_M036	italian_island
PITA2014MLT0010M_M037	italian_island
PIAG2014CPV0046M_MAI06-1	iago
PIAG2014CPV0047M_MAI18-1	iago
PMON2012ITA0001U_N33	tree
PDOM2014SVN0001M_P0129-E1	european_house
PDOM2014SVN0002M_P0131-E2	european_house
PDOM2014SVN0003M_P0132-E2	european_house
PDOM2014SVN0004M_P0133-E1_mos_std	european_house
PDOM2014SVN0005M_P0135-E1	european_house
PDOM2014SVN0006M_P0137-E1	european_house
PDOM2014SVN0007M_P0139-E2	european_house
PDOM2014SVN0008F_P0140-E1	european_house
PDOM2014SVN0009F_P0141-E2	european_house
PHIS2007ESP0001M_P0165-1	spanish
PHIS2007ESP0002M_P0171-2	spanish
PHIS2007ESP0003M_P0175-1	spanish
PHIS2007ESP0004M_P0176-1	spanish
PHIS2007ESP0005M_P0181-1	spanish
PHIS2007ESP0006M_P0182-2	spanish
PHIS2007ESP0007M_P0190-1	spanish
PHIS2007ESP0008M_P0192-2	spanish
PDOM2012NOR0031U_P0253-E2	european_house
PDOM2012NOR0032U_P0267-E2	european_house
PDOM2012NOR0033U_P0271-E2	european_house
PDOM2012NOR0034U_P0272-E2	european_house
PDOM2012NOR0035U_P0273-E2_mos_std	european_house
PIAG2014CPV0048M_PI-SA-2-E2_mos_std	iago
PIAG2014CPV0049M_PI-SA-3-E1	iago
PIAG2014CPV0050M_PI-SA-5-E2	iago
PMON2014MLT0001U_PM001-Malta	tree
PMON2014MLT0002U_PM002-Malta	tree
PMON2013ITA0001U_PM003	tree
PMON2013ITA0002U_PM007	tree
PMON2013ITA0003U_PM2	tree
PMON2013ITA0004U_PM4	tree
PMON2013ITA0005U_PM5	tree
PMON2013ITA0006U_PM6	tree
PDOM2013NOR0001M_PO250	european_house
PBAC2012IRN0001M_Pdomesticus_10_Golestan_109	bactrianus
PBAC2012IRN0002M_Pdomesticus_2_Kardeh_1	bactrianus
PBAC2012IRN0003M_Pdomesticus_3_Kardeh_2	bactrianus
PBAC2012IRN0004M_Pdomesticus_4_Kardeh_4	bactrianus
PBAC2012IRN0005M_Pdomesticus_5_Kardeh_7	bactrianus
PBAC2012IRN0006M_Pdomesticus_6-Golestan_102	bactrianus
PBAC2012IRN0007M_Pdomesticus_7_Goestan_103	bactrianus
PBAC2012IRN0008M_Pdomesticus_8_Golestan_104	bactrianus
PBAC2012IRN0009M_Pdomesticus_9_Golestan_105	bactrianus
PIAG2014CPV0051F_RBB05-2	iago
PIAG2014CPV0052M_RBC06-2	iago
PIAG2014CPV0053M_RZ16-1	iago
PITA2010ITA0001M_Rimini_100	italian_mainland
PITA2010ITA0002M_Rimini_103	italian_mainland
PITA2010ITA0003M_Rimini_104	italian_mainland
PITA2010ITA0004M_Rimini_110	italian_mainland
PITA2010ITA0005M_Rimini_112	italian_mainland
PITA2010ITA0006M_Rimini_85	italian_mainland
PITA2010ITA0007M_Rimini_88	italian_mainland
PITA2010ITA0008M_Rimini_91	italian_mainland
PITA2010ITA0009M_Rimini_93	italian_mainland
PITA2010ITA0010M_Rimini_94	italian_mainland
PITAITA0000_S029	italian_island
PITAITA0000_S040	italian_island
PITAITA0000_S045	italian_island
PITAITA0000_S046	italian_island
PITAITA0000_S049	italian_island
PITAITA0000_S052	italian_island
PITAITA0000_S058	italian_island
PITAITA0000_S059	italian_island
PITAITA0000_S064	italian_island
PITAITA0000_S065	italian_island
PHIS2012ITA0001M_SA001	spanish
PHIS2012ITA0002M_SA002	spanish
PHIS2012ITA0003M_SA003	spanish
PHIS2012ITA0004M_SA010	spanish
PHIS2012ITA0005M_SA011	spanish
PHIS2012ITA0006M_SA016	spanish
PHIS2012ITA0007M_SA017	spanish
PHIS2012ITA0008M_SA018	spanish
PHIS2012ITA0009M_SA019	spanish
PHIS2012ITA0010M_SA021	spanish
PIAG2014CPV0054M_SAL08-1	iago
PITAITA0000_SD01	italian_mainland
PITAITA0000_SD02	italian_mainland
PITAITA0000_SD03	italian_mainland
PITAITA0000_SD04	italian_mainland
PITAITA0000_SD05	italian_mainland
PITAITA0000_SD06	italian_mainland
PITAITA0000_SD07	italian_mainland
PITAITA0000_SD09	italian_mainland
PITAITA0000_SD10	italian_mainland
PITAITA0000_SD11	italian_mainland
PITAITA0000_SD12	italian_mainland
PIAG2014CPV0055M_SNI05-1	iago
PIAG2014CPV0055M_SNI54-1	iago
PIAG2014CPV0057F_STA12-2	iago
PIAG2014CPV0058M_STA50-1	iago
PIAG2014CPV0059M_STG26-1	iago
PIAG2014CPV0060M_STG49-1	iago
PIAG2014CPV0061M_STL03-2	iago
PIAG2014CPV0062M_SV03-2	iago
PITAITA0000_TR03	italian_mainland
PDOM2016TUR0004U_TUR8	neareast_house
PBIB2012IRN0001M_bib-ker-22	neareast_house
PBIB2012IRN0002F_bib-ker-27	neareast_house
PBIB2012IRN0003M_bib-ker-34	neareast_house
PBIB2012IRN0004M_bib-ker-35	neareast_house
PBIB2012IRN0005F_bib-ker-37	neareast_house
PBIB2012IRN0006M_bib-ker-38_mos_std	neareast_house
PBIB2012IRN0007M_bib-ker-41	neareast_house
PBIB2012IRN0008M_bib-ker-42	neareast_house
PBIB2012IRN0009F_bib-ker-43	neareast_house
PBIB2012IRN0010M_bib-ker-47	neareast_house
PHYR2012IRN0001M_hyr-maz-73	neareast_house
PHYR2012IRN0002M_hyr-maz-77	neareast_house
PHYR2012IRN0003F_hyr-maz-78-1in10	neareast_house
PIND2012IRN0001M_ind-ban-51	neareast_house
PIND2012IRN0002F_ind-ban-52	neareast_house
PIND2012IRN0003M_ind-ban-56	neareast_house
PIND2012IRN0004M_ind-ban-58	neareast_house
PIND2012IRN0005M_ind-kho-66	neareast_house
PIND2012IRN0006M_ind-kho-67	neareast_house
PIND2012IRN0007M_ind-kho-68	neareast_house
PIND2012IRN0008M_ind-kho-70	neareast_house
PIND2012IRN0009M_ind-sis-71	neareast_house
PIND2012IRN0010F_ind-sis-72	neareast_house
PPER2012IRN0001F_per-teh-1sh	neareast_house
PPER2012IRN0002M_per-teh-1t	neareast_house
PPER2012IRN0003M_per-teh-2t_mos_std	neareast_house
PPER2012IRN0004M_per-teh-3t	neareast_house
PPER2012IRN0005M_per-teh-4t	neareast_house
PPER2012IRN0006M_per-teh-5t	neareast_house
PPER2012IRN0007M_per-teh-6t	neareast_house
PPER2012IRN0008M_per-teh-7t	neareast_house
PPER2012IRN0009M_per-teh-8t	neareast_house
PPER2012IRN0010M_per-teh-9t	neareast_house
